RecNo,PointNo,Lon_ext,Lat_ext,alt,tmin1,tmax1,prec1,tmin2,tmax2,prec2,tmin3,tmax3,March precipitation,tmin4,tmax4,April precipitation,tmin5,tmax5,May precipitation,tmin6,tmax6,prec6,tmin7,tmax7,prec7,tmin8,tmax8,prec8,tmin9,tmax9,September precipitation,tmin10,tmax10,October precipitation,tmin11,tmax11,November precipitation,tmin12,tmax12,prec12,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,cov
84,84,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,12
85,85,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,12
86,86,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,12
87,87,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,12
88,88,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,12
89,89,-68.64689636,-43.23080063,521,10.7,26.2,9,9.8,25.8,14,7.6,22.5,13,4.2,17.4,16,1.6,12.2,25,-0.6,8.4,25,-1,8.6,20,-0.1,11.2,16,1.6,14.3,14,4.1,18.3,13,7,21.8,10,9.7,24.6,9,11.07916667,13.05833333,48.00857843,544.0565576,26.2,-1,27.2,4.866666667,16.66666667,17.8,4.416666667,184,25,9,35.86507338,70,28,32,61,18
90,90,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,16
91,91,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
92,92,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
93,93,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
94,94,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
95,95,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
96,96,-68.3891983,-43.89310074,323,11.8,26.4,10,10.9,26,12,8.8,22.7,12,5.6,17.9,17,2.7,12.9,26,0.5,9.4,25,0.2,9.4,21,1,11.9,16,2.9,15.1,15,5.4,18.9,12,8.1,22.2,10,10.8,25,9,11.9375,12.425,47.42366412,530.720458,26.4,0.2,26.2,5.85,17.38333333,18.48333333,5.4,185,26,9,37.76757253,72,29,31,62,19
97,97,-66.46219635,-43.70280075,216,12.5,26.6,11,12,26.3,14,9.8,23.3,17,6.2,18.4,16,3.6,13.9,22,0.8,10.4,24,0.5,10.4,16,1.7,13,12,3.4,15.5,11,6,19.5,11,9.1,23.2,11,11.6,25,13,12.6125,12.35833333,47.34993614,526.0838379,26.6,0.5,26.1,8.883333333,12.78333333,19,6.133333333,178,24,11,29.71209593,62,33,38,52,19
98,98,-66.43250275,-43.68000031,186,12.6,26.7,11,12.2,26.5,14,9.9,23.4,17,6.4,18.6,16,3.8,14,22,1,10.5,24,0.7,10.5,16,1.8,13.1,12,3.5,15.7,11,6.2,19.7,11,9.3,23.3,11,11.7,25.1,13,12.75833333,12.33333333,47.43589744,525.6720086,26.7,0.7,26,9.05,12.95,19.13333333,6.266666667,178,24,11,29.71209593,62,33,38,52,15
99,99,-66.46219635,-43.70280075,216,12.5,26.6,11,12,26.3,14,9.8,23.3,17,6.2,18.4,16,3.6,13.9,22,0.8,10.4,24,0.5,10.4,16,1.7,13,12,3.4,15.5,11,6,19.5,11,9.1,23.2,11,11.6,25,13,12.6125,12.35833333,47.34993614,526.0838379,26.6,0.5,26.1,8.883333333,12.78333333,19,6.133333333,178,24,11,29.71209593,62,33,38,52,15
100,100,-66.46219635,-43.70280075,216,12.5,26.6,11,12,26.3,14,9.8,23.3,17,6.2,18.4,16,3.6,13.9,22,0.8,10.4,24,0.5,10.4,16,1.7,13,12,3.4,15.5,11,6,19.5,11,9.1,23.2,11,11.6,25,13,12.6125,12.35833333,47.34993614,526.0838379,26.6,0.5,26.1,8.883333333,12.78333333,19,6.133333333,178,24,11,29.71209593,62,33,38,52,20
101,101,-64.19999695,-31.41659927,415,16.5,31,117,15.9,29.9,101,14.6,27.8,102,10.4,23.7,46,7,20.7,23,3.9,17.7,12,3.6,18.2,11,4.8,20.7,11,7.4,22.7,32,10.7,24.8,76,13.6,28,97,15.7,29.8,121,17.4625,14.24166667,51.97688564,477.63682,31,3.6,27.4,23.13333333,11.48333333,23.13333333,11.48333333,749,121,11,70.70703994,339,34,339,34,12
102,102,-59.83330154,-37.81669998,186,13.3,29.6,71,13,28.1,77,11.6,24.9,102,7.2,18.9,62,4.5,15.6,66,2.7,11.8,40,2.3,12.1,53,2.4,14.1,35,3.8,16.2,59,6,19.3,63,9,23.4,74,10.7,26.5,72,13.625,12.83333333,47.00854701,522.2090316,29.6,2.3,27.3,20.08333333,7.566666667,20.2,7.566666667,774,102,35,27.23728606,250,128,220,128,12
103,103,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,14
104,104,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,14
105,105,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,14
106,106,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,12
107,107,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,12
108,108,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,12
109,109,-66.2638855,-27.83416748,734,19.4,33.9,83,18.6,32.2,70,16.5,29.9,65,11.3,25.7,23,7.4,22.1,16,3.9,18.4,9,2.9,19.4,10,5.4,22.6,9,9,25.9,9,12.9,28.8,23,16.5,31.9,36,18.6,33.6,47,19.45,15.16666667,48.92473118,575.6616746,33.9,2.9,31,25.08333333,12.1,26.05,12.1,400,83,9,80.10447723,218,28,200,28,12
110,110,-65.52038574,-30.04538918,187,21,34.7,83,20,33.2,71,18,30.3,58,14.2,26.9,24,10.7,23.2,13,7.1,19.6,4,5.8,20.1,5,7.7,23.3,6,11.3,26,12,15.4,29.6,26,18.1,32.2,53,20.5,34.4,72,20.97083333,13.64166667,47.20299885,543.5341351,34.7,5.8,28.9,27.3,13.93333333,27.3,13.93333333,427,83,4,83.60324749,226,15,226,15,12
111,111,-65.52038574,-30.04538918,187,21,34.7,83,20,33.2,71,18,30.3,58,14.2,26.9,24,10.7,23.2,13,7.1,19.6,4,5.8,20.1,5,7.7,23.3,6,11.3,26,12,15.4,29.6,26,18.1,32.2,53,20.5,34.4,72,20.97083333,13.64166667,47.20299885,543.5341351,34.7,5.8,28.9,27.3,13.93333333,27.3,13.93333333,427,83,4,83.60324749,226,15,226,15,12
112,112,-63.59075928,-32.70000076,225,17.2,30.7,108,16.1,29.6,84,14.7,27.3,100,9.8,22.9,64,7.4,20.1,28,4.9,15.9,15,3.8,16.6,16,4.8,18.8,17,7,21.3,36,10.6,23.8,89,13.9,27.1,107,15.7,29.2,123,17.05,13.11666667,48.76084263,501.302848,30.7,3.8,26.9,22.3,10.8,23.08333333,10.8,787,123,15,62.61708676,338,48,315,48,12
113,113,-67.15555573,-38.15277863,309,13.9,32,25,12.6,30.8,22,9.9,28,29,5.4,22.1,19,2.9,17.3,15,0.1,13,17,-0.3,13.7,12,0.4,16.5,11,3.4,19.8,18,6.7,23.5,36,10.2,27.9,28,13.2,30.6,25,14.73333333,16.4,50.77399381,608.4194626,32,-0.3,32.3,18.68333333,7.233333333,22.18333333,7.233333333,257,36,11,34.91080894,89,40,72,40,12
114,114,-67.19999695,-37.3833313,256,14.6,33,33,13.4,31.8,29,10.8,28.9,36,6,22.9,24,3.2,18.3,16,0.6,14,16,0,14.6,11,0.6,17.2,10,3.7,20.7,18,7.2,24.1,41,10.8,28.7,32,13.6,31.6,33,15.42916667,16.775,50.83333333,617.3641121,33,0,33,19.33333333,7.833333333,23,7.833333333,299,41,10,41.96927685,106,37,95,37,12
115,115,-65.55000305,-37.95000076,307,14.3,32.7,42,13.2,31.4,48,10.8,28,45,5.8,22.2,21,3.1,17.4,15,0.3,13,16,0.2,13.6,13,0.3,16.2,18,3.6,19.6,28,6.7,23,52,9.9,27.4,44,13.3,30.5,32,14.85416667,16.125,49.61538462,619.1029373,32.7,0.2,32.5,21.73333333,7.933333333,22.56666667,7.266666667,374,52,13,46.39228315,135,44,122,47,12
116,116,-70.05913544,-39.2104187,818,9.9,27.1,8,9,27.1,9,7,24.2,12,3.5,18.3,18,1.5,13.4,34,-0.4,9.4,40,-0.6,9.7,29,-0.3,11.7,20,0.9,14.5,14,3.4,19.3,12,6.8,23.7,9,9,26.2,9,11.42916667,14.575,52.61732852,541.1202955,27.1,-0.6,27.7,5.5,17.11666667,18.05,4.916666667,214,40,8,60.85801362,103,26,26,89,19
117,117,-67.33000183,-43.45694351,286,12.2,27,11,11.5,26.6,14,9.3,23.4,15,5.8,18.4,16,3.1,13.6,23,0.4,9.9,23,0.2,10,17,1.2,12.7,13,3,15.5,12,5.7,19.5,12,8.7,23.1,10,11.2,25.4,12,12.39166667,12.73333333,47.51243781,539.9782543,27,0.2,26.8,6.2,17.93333333,18.98333333,5.733333333,178,23,10,29.15055688,63,33,37,53,19
118,118,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,14
119,119,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,14
120,120,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,14
121,121,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,12
122,122,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,12
123,123,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,12
124,124,-65.79166412,-41.15833282,316,13.6,28.8,15,12.9,28.1,19,10.4,24.9,24,6.4,20,18,3.8,15.2,23,0.8,11.4,19,0.7,11.6,18,1.7,14.5,14,3.4,16.8,15,6.6,20.7,22,9.7,24.7,16,12.4,27.1,18,13.59166667,13.45,47.86476868,559.0407097,28.8,0.7,28.1,13.45,8.116666667,20.48333333,6.783333333,221,24,14,17.55028364,65,47,52,51,12
125,125,-67.96347046,-32.99824142,595,17.3,33.2,40,16.4,31.8,37,14,29.1,28,8.6,23.8,10,4.8,19.4,5,2,15.4,4,0.9,16.1,5,2.8,18.7,4,6,22.5,9,9.8,25.4,16,13.8,29.6,22,16.2,31.9,34,17.0625,15.35833333,47.54901961,620.626974,33.2,0.9,32.3,24.46666667,9.316666667,24.46666667,9.316666667,214,40,4,77.39844456,111,13,111,13,12
126,126,-67.56665802,-33.4659996,508,16.9,33.9,45,16,31.8,37,13.8,29.7,30,8.3,24,11,4.4,19.7,11,1.9,15.7,5,0.5,16.8,12,2.4,18.9,8,5.4,22.7,10,9.3,25.5,31,13.8,29.7,26,15.7,31.9,42,17.02916667,15.99166667,47.87924152,618.5740873,33.9,0.5,33.4,24.36666667,9.366666667,24.36666667,9.366666667,268,45,5,64.52998024,124,25,124,25,19
127,127,-68.47219086,-32.33397293,559,18.3,33.7,29,17.2,32.2,24,14.5,29.1,19,9.5,24.3,8,5.4,19.7,4,2.2,16,5,1.4,16.1,5,3.5,19,3,6.9,22.5,7,10.8,26.3,13,14.5,30.3,16,17.2,32.9,21,17.64583333,15.05833333,46.62022704,634.842351,33.7,1.4,32.3,25.25,9.7,25.25,9.7,154,29,3,68.72527552,74,13,74,13,19
128,128,-68.47219086,-32.33397293,559,18.3,33.7,29,17.2,32.2,24,14.5,29.1,19,9.5,24.3,8,5.4,19.7,4,2.2,16,5,1.4,16.1,5,3.5,19,3,6.9,22.5,7,10.8,26.3,13,14.5,30.3,16,17.2,32.9,21,17.64583333,15.05833333,46.62022704,634.842351,33.7,1.4,32.3,25.25,9.7,25.25,9.7,154,29,3,68.72527552,74,13,74,13,14
