Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,December maximum temperature,October precipitation,May precipitation,April precipitation
143,48,5190,294,-3,297,209,77,209,77,413,80,6,73,208,22,208,22,281,36,17,24
148,49,5147,292,-7,299,205,74,205,74,423,79,7,69,204,24,204,24,281,36,17,24
144,48,5163,293,-3,296,208,77,208,77,413,80,6,73,208,22,208,22,281,36,17,24
143,48,5190,294,-3,297,209,77,209,77,413,80,6,73,208,22,208,22,279,17,22,24
150,51,4959,270,-21,291,180,66,190,64,293,79,3,99,185,12,181,12,281,36,17,24
150,51,4959,270,-21,291,180,66,190,64,293,79,3,99,185,12,181,12,281,36,17,24
150,51,4959,270,-21,291,180,66,190,64,293,79,3,99,185,12,181,12,279,17,22,24
150,51,4959,270,-21,291,180,66,190,64,293,79,3,99,185,12,181,12,260,13,5,24
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,228,23,22,30
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,228,23,22,30
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,228,23,22,30
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,221,23,27,30
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,221,23,27,30
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,221,23,27,30
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,221,23,27,30
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,221,23,27,21
150,51,4959,270,-21,291,180,66,190,64,293,79,3,99,185,12,181,12,221,23,27,21
149,52,4869,240,-43,283,144,54,153,28,365,48,21,25,124,72,110,89,221,23,27,21
149,52,4869,240,-43,283,144,54,153,28,365,48,21,25,124,72,110,89,221,23,27,21
149,52,4869,240,-43,283,144,54,153,28,365,48,21,25,124,72,110,89,221,23,27,21
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,21
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,21
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,21
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,23
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,22
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,22
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,221,23,27,22
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,280,16,4,15
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,280,16,4,10
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,278,28,10,10
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,278,28,10,12
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,278,28,10,10
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,278,28,10,10
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,278,28,10,12
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,276,34,13,21
146,52,4773,234,-44,278,139,83,148,24,398,46,21,22,122,80,111,113,276,34,13,21
141,47,5429,290,-8,298,199,71,210,71,248,58,3,82,136,14,133,14,276,34,13,21
141,47,5429,290,-8,298,199,71,210,71,248,58,3,82,136,14,133,14,263,35,13,21
141,48,5163,293,0,293,210,78,210,78,403,82,5,78,210,18,210,18,224,33,18,21
141,48,5163,293,0,293,210,78,210,78,403,82,5,78,210,18,210,18,224,33,18,22
141,48,5163,293,0,293,210,78,210,78,403,82,5,78,210,18,210,18,224,33,18,22
141,48,5163,293,0,293,210,78,210,78,403,82,5,78,210,18,210,18,224,33,18,21
141,48,5163,293,0,293,210,78,210,78,403,82,5,78,210,18,210,18,224,33,18,21
147,49,5170,293,-7,300,206,74,206,74,400,76,7,70,195,25,195,25,224,33,18,21
147,49,5170,293,-7,300,206,74,206,74,400,76,7,70,195,25,195,25,224,33,18,21
147,49,5170,293,-7,300,206,74,206,74,400,76,7,70,195,25,195,25,224,33,18,21
153,51,5173,280,-19,299,185,61,193,61,412,77,8,66,192,28,192,28,224,33,18,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,224,33,18,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,224,33,18,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
152,53,4879,238,-47,285,144,32,153,27,440,63,18,43,173,59,164,61,279,17,22,21
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,279,17,22,24
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
150,50,5428,286,-10,296,123,74,201,62,187,22,10,23,60,37,48,41,201,13,24,27
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,27
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,27
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,21
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,14
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,19
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,19
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,206,11,24,19
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,239,11,17,19
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,240,11,17,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,239,11,17,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,239,11,17,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,267,82,30,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,267,49,67,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,256,85,31,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,275,27,22,19
124,47,5029,221,-41,262,15,129,140,9,177,24,8,37,68,25,29,61,275,27,22,19
150,50,5556,253,-47,300,45,103,160,18,154,19,9,23,50,30,34,43,275,27,22,24
150,50,5556,254,-46,300,47,104,161,19,154,19,9,23,50,30,34,43,275,27,22,9
150,50,5556,253,-47,300,45,103,160,18,154,19,9,23,50,30,34,43,275,27,22,11
150,50,5556,253,-47,300,45,103,160,18,154,19,9,23,50,30,34,43,275,27,22,11
136,53,4111,276,21,255,194,95,200,95,831,130,9,66,386,34,360,34,275,27,22,11
153,48,5771,298,-17,315,111,46,191,46,651,85,28,26,203,111,177,111,310,31,19,11
122,49,4299,268,22,246,192,88,198,88,782,114,13,58,316,44,297,44,310,31,19,11
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,271,32,16,65
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,281,36,17,85
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,271,44,16,57
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,233,14,40,18
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,201,13,24,18
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,218,12,20,18
140,50,4851,278,1,277,200,102,207,85,436,91,9,74,235,31,217,45,252,22,21,18
133,49,4689,310,39,271,226,117,237,117,511,95,5,78,265,17,262,17,252,22,21,18
133,49,4689,310,39,271,226,117,237,117,511,95,5,78,265,17,262,17,252,22,21,18
159,52,5319,284,-18,302,183,57,193,57,292,46,10,41,104,37,88,37,252,22,21,18
163,52,5357,294,-14,308,192,64,201,64,347,58,9,50,135,35,117,35,252,22,21,23
155,50,5427,293,-14,307,190,63,198,59,387,61,12,48,157,43,130,43,252,22,21,18
140,51,4948,248,-23,271,37,147,157,32,267,46,11,50,120,35,35,105,252,22,21,18
127,48,4983,216,-46,262,10,122,133,4,185,25,8,34,69,25,30,63,252,23,22,18
135,48,5158,234,-42,276,42,140,148,15,167,21,9,26,57,30,35,49,270,21,7,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,272,36,15,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,277,19,6,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,277,19,6,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,231,23,18,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,230,24,18,18
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,228,23,22,17
150,50,5307,268,-29,297,103,58,177,41,219,29,13,23,68,42,54,45,252,23,22,14
147,50,5229,268,-22,290,108,62,180,47,245,35,12,26,79,45,58,49,270,21,7,14
143,48,5228,283,-11,294,192,67,201,67,320,67,5,79,169,16,169,16,272,36,15,14
151,49,5265,293,-14,307,202,69,202,69,358,67,6,66,169,28,169,28,277,19,6,14
138,47,5391,286,-6,292,196,69,207,69,256,57,4,74,132,17,130,17,277,19,6,16
138,47,5391,286,-6,292,196,69,207,69,256,57,4,74,132,17,130,17,231,23,18,18
151,52,4932,243,-43,286,147,54,156,29,345,48,18,31,127,63,113,71,230,24,18,18
152,52,4937,242,-45,287,145,53,154,27,344,48,18,32,126,61,114,69,228,23,22,18
