fid,Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,July minimum temperature,October precipitation,April precipitation
1,195,157,46,6150,364,24,340,273,117,273,117,303,65,4,75,154,16,154,16,20,32,15
2,191,161,46,6143,363,20,343,269,113,269,113,314,65,5,73,155,18,155,18,24,27,14
3,194,158,46,6144,364,24,340,273,116,273,116,303,65,5,75,154,17,154,17,24,27,14
4,195,157,46,6150,364,24,340,273,117,273,117,303,65,4,75,154,16,154,16,7,8,8
5,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
6,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
7,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,7,8,8
8,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,10,36,20
9,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
10,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
11,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
12,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,15,14,12
13,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,10,36,20
14,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,10,36,20
15,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,15,14,12
16,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,7,8,8
17,182,166,49,5891,345,7,338,249,112,259,109,181,49,1,96,118,5,107,6,-15,13,13
18,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-15,13,13
19,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-15,13,13
20,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,-16,13,13
21,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
22,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
23,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
24,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
25,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
26,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
27,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
28,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
29,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
30,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
31,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
32,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
33,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
34,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
35,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,-16,13,13
36,132,164,50,5723,308,-16,324,60,166,207,60,209,27,11,25,73,40,43,73,20,9,6
37,195,158,45,6372,365,20,345,266,114,277,114,140,34,1,79,80,7,74,7,20,9,6
38,195,158,45,6372,365,20,345,266,114,277,114,140,34,1,79,80,7,74,7,27,23,13
39,197,154,45,6133,365,27,338,275,118,275,118,288,64,4,79,151,14,151,14,27,23,13
40,197,154,45,6133,365,27,338,275,118,275,118,288,64,4,79,151,14,151,14,27,23,13
41,197,154,45,6133,365,27,338,275,118,275,118,288,64,4,79,151,14,151,14,27,23,13
42,197,154,45,6133,365,27,338,275,118,275,118,288,64,4,79,151,14,151,14,27,23,13
43,197,154,45,6133,365,27,338,275,118,275,118,288,64,4,79,151,14,151,14,20,29,13
44,192,160,46,6173,364,20,344,270,114,270,114,290,61,5,72,143,18,143,18,20,29,13
45,192,160,46,6173,364,20,344,270,114,270,114,290,61,5,72,143,18,143,18,20,29,13
46,192,160,46,6173,364,20,344,270,114,270,114,290,61,5,72,143,18,143,18,8,26,14
47,178,167,48,6194,353,8,345,249,100,257,100,264,53,5,64,125,19,121,19,-19,21,17
48,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
49,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
50,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
51,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
52,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
53,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
54,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
55,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
56,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
57,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,-19,21,17
58,138,168,50,5888,311,-19,330,207,70,215,65,247,34,12,32,90,40,81,42,15,14,12
59,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
60,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
61,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
62,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
63,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
64,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
65,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
66,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
67,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,15,14,12
68,167,160,47,6206,349,15,334,123,237,249,90,120,14,6,23,39,23,24,33,4,12,13
69,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
70,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
71,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
72,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
73,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
74,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
75,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
76,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,4,12,13
77,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,16,12,14
78,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
79,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
80,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
81,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
82,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
83,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,16,12,14
84,132,126,47,5034,284,16,268,73,185,197,68,168,28,8,40,69,25,27,64,20,10,14
85,139,123,47,4933,281,20,261,81,138,201,76,162,26,8,31,59,31,32,53,21,10,14
86,140,123,47,4935,282,21,261,82,139,203,77,162,26,8,32,59,31,32,53,20,10,14
87,139,123,47,4933,281,20,261,81,138,201,76,162,26,8,31,59,31,32,53,20,10,14
88,139,123,47,4933,281,20,261,81,138,201,76,162,26,8,31,59,31,32,53,43,83,43
89,191,145,50,4843,330,43,288,242,129,252,129,716,119,7,68,323,29,320,29,38,79,60
90,150,127,46,5091,313,38,275,217,90,218,90,783,117,37,35,271,113,244,113,45,97,59
91,186,133,47,5080,327,45,282,241,122,251,122,762,122,14,61,324,46,303,46,39,20,27
92,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
93,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
94,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
95,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
96,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
97,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,39,20,27
98,212,157,49,5625,359,39,320,273,140,282,140,370,84,6,80,208,19,185,19,67,26,24
99,226,139,46,5385,367,67,300,294,156,294,156,406,83,3,79,210,10,210,10,67,26,24
100,226,139,46,5385,367,67,300,294,156,294,156,406,83,3,79,210,10,210,10,7,31,16
101,164,170,49,6215,350,7,344,205,101,245,86,215,31,9,32,70,34,59,37,10,36,20
102,171,173,49,6309,359,10,349,244,106,253,92,254,36,9,40,89,32,80,35,14,49,19
103,166,165,48,6178,352,14,338,239,94,247,88,342,49,10,46,132,39,117,47,7,11,15
104,129,150,51,5496,299,7,292,68,200,200,61,179,38,5,60,87,18,18,80,4,12,13
105,124,133,47,5225,283,4,279,63,178,192,58,165,27,7,38,66,24,27,62,15,12,13
106,136,127,47,5049,284,15,268,77,189,201,71,158,25,8,31,59,28,31,54,19,18,16
107,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
108,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
109,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
110,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
111,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
112,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,19,18,16
113,151,139,47,5525,313,19,293,110,210,222,82,192,20,10,16,54,39,44,50,15,19,17
114,156,151,47,5876,330,15,315,112,220,232,82,193,23,10,18,57,40,41,50,17,14,9
115,188,159,46,6230,358,17,342,259,109,267,109,197,44,3,78,107,10,102,10,13,29,10
116,188,165,46,6250,365,13,352,267,108,267,108,249,51,4,67,117,20,117,20,22,11,7
117,194,157,46,6299,362,22,340,263,113,274,113,138,31,2,70,73,10,66,10,22,11,7
118,194,157,46,6299,362,22,340,263,113,274,113,138,31,2,70,73,10,66,10,-15,14,14
119,138,167,50,5906,316,-15,331,207,97,215,64,187,20,11,16,57,41,49,49,-17,15,14
120,136,167,50,5919,314,-17,331,205,95,213,62,186,20,11,15,57,40,50,47,-15,13,13
121,137,165,50,5831,314,-15,329,64,171,212,64,190,21,11,17,59,39,45,59,,,
